Caller,Sequencing_deph,Tandem duplication,Inversion,Translocation cut-paste ,Translocation cut-paste,Translocation copy-paste,Translocation copy-paste,Reciprocal translocation,Reciprocal translocation,Deletion,No simulated,FP,TP,FN,Precision,Recall,F1_score
SAVANA,30,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,30,1,1,1,0,0,0,1,1,1,3,1,6,0,0.857142857142857,1,0.923076923076923
SAVANA,30,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,50,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,50,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,50,1,1,1,0,0,0,1,1,1,3,2,6,0,0.75,1,0.857142857142857
SAVANA,100,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,100,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,100,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,200,1,1,1,0,0,0,1,1,1,3,1,6,0,0.857142857142857,1,0.923076923076923
SAVANA,200,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
SAVANA,200,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
Severus,30,1,1,1,0,0,0,1,1,1,3,10,6,0,0.3750,1,0.545454545454545
Severus,30,1,1,1,0,0,0,1,1,1,3,7,6,0,0.461538461538462,1,0.631578947368421
Severus,30,1,1,1,0,0,0,1,1,1,3,2,6,0,0.75,1,0.857142857142857
Severus,50,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
Severus,50,1,1,1,0,0,0,1,1,1,3,8,6,0,0.428571428571429,1,0.6
Severus,50,1,1,1,0,0,0,1,1,1,3,7,6,0,0.461538461538462,1,0.631578947368421
Severus,100,1,1,1,0,0,0,1,1,1,3,1,6,0,0.857142857142857,1,0.923076923076923
Severus,100,1,1,1,0,0,0,1,1,1,3,2,6,0,0.75,1,0.857142857142857
Severus,100,1,1,1,0,0,0,1,1,1,3,1,6,0,0.857142857142857,1,0.923076923076923
Severus,200,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
Severus,200,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
Severus,200,1,1,1,0,0,0,1,1,1,3,0,6,0,1,1,1
Sniffles2,30,0,0,0,0,0,0,0,0,0,3,133,0,6,0,0,0
Sniffles2,30,0,0,0,0,0,0,0,0,0,3,123,0,6,0,0,0
Sniffles2,30,0,0,0,0,0,0,0,0,0,3,119,0,6,0,0,0
Sniffles2,50,0,0,0,0,0,0,0,0,0,3,38,0,6,0,0,0
Sniffles2,50,0,0,0,0,0,0,0,0,0,3,46,0,6,0,0,0
Sniffles2,50,0,0,0,0,0,0,0,0,0,3,47,0,6,0,0,0
Sniffles2,100,0,0,0,0,0,0,0,0,0,3,25,0,6,0,0,0
Sniffles2,100,0,0,0,0,0,0,0,0,0,3,15,0,6,0,0,0
Sniffles2,100,0,0,0,0,0,0,0,0,0,3,19,0,6,0,0,0
Sniffles2,200,0,0,0,0,0,0,0,0,0,3,24,0,6,0,0,0
Sniffles2,200,0,0,0,0,0,0,0,0,0,3,22,0,6,0,0,0
Sniffles2,200,0,0,0,0,0,0,0,0,0,3,24,0,6,0,0,0
Svision-pro,30,0,0,0,0,0,0,0,0,0,3,41,0,6,0,0,0
Svision-pro,30,0,0,0,0,0,0,0,0,0,3,33,0,6,0,0,0
Svision-pro,30,0,0,0,0,0,0,0,0,0,3,29,0,6,0,0,0
Svision-pro,50,0,0,0,0,0,0,0,0,0,3,51,0,6,0,0,0
Svision-pro,50,0,0,0,0,0,0,0,0,0,3,67,0,6,0,0,0
Svision-pro,50,0,0,0,0,0,0,0,0,0,3,61,0,6,0,0,0
Svision-pro,100,0,0,0,0,0,0,0,0,0,3,109,0,6,0,0,0
Svision-pro,100,0,0,0,0,0,0,0,0,0,3,115,0,6,0,0,0
Svision-pro,100,0,0,0,0,0,0,0,0,0,3,119,0,6,0,0,0
Svision-pro,200,0,0,0,0,0,0,0,0,0,3,188,0,6,0,0,0
Svision-pro,200,0,0,0,0,0,0,0,0,0,3,191,0,6,0,0,0
Svision-pro,200,0,0,0,0,0,0,0,0,0,3,201,0,6,0,0,0
