Sequencing deph,CPU asigned (cores),CPU used (%),Time (HH:MM:SS),Memory asigned (GB),Memory used (GB)
30x_A,24,55.52,00:25:13,400,44.44
30x_B,24,68.88,00:23:35,400,36.16
30x_C,24,51.55,00:26:39,400,45.18
50x_A,24,67.28,00:26:29,400,75.45
50x_B,24,68.27,00:30:31,400,64.24
50x_C,24,63.99,00:36:39,400,86.96
100x_A,24,54.25,01:02:34,400,134.59
100x_B,24,77.27,00:51:37,400,130.37
100x_C,24,68.11,00:56:21,400,173.05
200x_A,24,62.17,02:52:18,400,361.24
200x_B,24,63.87,02:43:46,400,360.41
200x_C,24,47.15,02:19:54,400,384.89
