Caller,Sequencing_deph,CPU_asigned,CPU_usage,Time,Memory_asigned,RAM_usage
SAVANA,30,24,69.68,00:22:57,400,32.79
SAVANA,30,24,69.66,00:22:55,400,51.72
SAVANA,30,24,69.75,00:23:30,400,37.75
SAVANA,50,24,75.21,00:36:36,400,70.43
SAVANA,50,24,74.12,00:36:29,400,73.26
SAVANA,50,24,73.36,00:36:27,400,64.18
SAVANA,100,24,78.25,01:11:39,400,170.41
SAVANA,100,24,79.01,01:11:37,400,161.25
SAVANA,100,24,73.27,00:48:43,400,140.61
SAVANA,200,24,66.89,01:56:30,400,348.80
SAVANA,200,24,57.9,02:17:12,400,361.79
SAVANA,200,24,75.83,01:38:54,400,361.40
Severus,30,24,58.90,00:16:53,40,7.48
Severus,30,24,59.61,00:16:41,40,7.46
Severus,30,24,59.67,00:16:40,40,7.47
Severus,50,24,55.60,00:29:11,40,11.08
Severus,50,24,60.04,00:29:09,40,11.06
Severus,50,24,59.65,00:29:10,40,11.02
Severus,100,24,49.03,00:54:44,40,20.50
Severus,100,24,38.21,00:54:03,40,20.62
Severus,100,24,39.60,00:53:58,40,20.56
Severus,200,24,34.86,03:17:15,40,37.93
Severus,200,24,33.54,03:15:54,40,37.86
Severus,200,24,25.30,03:19:10,40,37.81
Sniffles2,30,24,60.69,00:08:47,40,2.92
Sniffles2,30,24,47.95,00:09:27,40,3.14
Sniffles2,30,24,56.98,00:08:21,40,2.93
Sniffles2,50,24,54.08,00:15:27,40,4.16
Sniffles2,50,24,56.99,00:11:42,40,4.06
Sniffles2,50,24,50.04,00:13:06,40,4.13
Sniffles2,100,24,54.66,00:31:48,40,7.10
Sniffles2,100,24,37.99,00:22:39,40,7.12
Sniffles2,100,24,55.40,00:17:52,40,6.95
Sniffles2,200,24,49.43,00:58:52,40,13.09
Sniffles2,200,24,58.27,00:55:05,40,12.42
Sniffles2,200,24,27.64,01:20:27,40,13.23
Svision-pro,30,52,88.51,00:03:54,40,12.50
Svision-pro,30,52,61.19,00:05:02,40,11.66
Svision-pro,30,52,90.28,00:03:51,40,12.56
Svision-pro,50,52,81.07,00:07:03,40,13.56
Svision-pro,50,52,74.58,00:06:56,40,12.95
Svision-pro,50,52,58.65,00:07:58,40,13.07
Svision-pro,100,52,49.03,00:54:44,40,20.50
Svision-pro,100,52,38.21,00:54:03,40,20.62
Svision-pro,100,52,39.60,00:53:58,40,20.56
Svision-pro,200,52,36.36,00:44:54,40,21.97
Svision-pro,200,52,65.99,00:27:54,40,22.32
Svision-pro,200,52,19.40,01:08:32,40,21.79
